정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
슈퍼 타입(Super type),,모든 서브 타입으로 상속(Inheritance)되는 공통 속성이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
서브 타입(Sub type),,개체(Entity)의 전체 집합에서 일부만 모아놓은 부분 속성이다,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
튜플(Tuple),,관계형 데이터베이스에서는 행(Row)을 의미한다.,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
추상클래스(Abstract Class),,"( )는 객체 인스턴스를 생성하지 않고, 단지 유사 클래스들의 공통된 특징을 정의하고, 하나 이상의 추상 메서드와 일반 필드 및 일반 메서드를 포함하는 클래스이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
액션(Action),,"( )은 활동 다이어그램 구성요소 중 어떠한 일들의 처리와 실행을 의미하고, 더 이상 분해할 수 없는 단일 작업이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
애트리뷰트(Attribute),," 관계형 데이터베이스에서는 테이블 내의 열을 의미한다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
분포도(Selectivity),,"특정 컬럼의 데이터가 테이블에 평균적으로 분포되어 있는 정도
인덱스로 적정한 분포도는 10% ~ 15%이다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
포크 노드(Fork node),,"( )는 활동 다이어그램 구성요소 중 평행적으로 수행되는 흐름을 나누는 노드로 굵은 가로선으로 표현하고 들어오는 액티비티 흐름은 한 개이고, 나가는 액티비티 흐름은 여러 개이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
전이 조건,,( )은 상태 다이어그램 구성요소 중 특정 조건 만족 시 전이 발생하도록 하기 위해 사용되는 속성 값의 불리언 식이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
데이터 조작어(DML; Data Manipulation Language),,"데이터베이스에 저장된 자료들을 입력, 수정, 삭제, 조회하는 언어이다.
( )의 유형에는 select, insert, delete, update가 있다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
클러스터(Cluster),,대상이 되는 범위(모집단)의 요소를 몇 개 모은 단위체이다.,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
UI 흐름 설계,,( )는 업무의 흐름이나 업무 수행과 관련된 일련의 클릭에 의한 화면의 위치와 흐름을 흐름도 형식으로 표현하는 활동이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 설계서 구성,,"( )은 UI 설계서 표지, UI 설계서 개정 이력, UI 요구사항 정의, 시스템 구조, 사이트맵, 프로세스 정의, 화면 설계 등으로 이루어진다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
input Box,,"다음은 UI 흐름 설계 수행 절차 중 기능 및 양식(Form) 확인 및 규칙 정의를 해야 하는 것에는 ( ) 확인/규칙 정의, Combo Box 확인/규칙 정의, Radio Box 확인/규칙 정의, Check Box 확인/규칙 정의가 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 상세 설계 프로세스,,"( )는 UI 요구사항 최종 확인, UI 구조 설계, 사용자 기반 메뉴 구조 설계, 화면 설계, 위 시스템 단위의 내-외부 상세화면과 폼 설계 절차로 되어 있다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
디스크 스트라이핑(Disk Striping),,성능 향상을 위해 데이터를 1개 이상의 디스크 드라이브에 저장하여 드라이브를 병렬로 사용할 수 있는 기술이다.,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
완전성(Complete),,"( )은 UI 시나리오 문서의 작성 요건 중 UI 시나리오는 누락이 없어야 하고, 최대한 빠짐없이 가능한 한 상세하게 기술해야 한다는 원칙이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
이해성(Understandable),,"( )은 UI 시나리오 문서의 작성 요건 중 처음 접하는 사람도 이해하기 쉽도록 구성하고 설명해야 하고, 이해하지 못하는 추상적인 표현이나 이해하기 어려운 용어는 사용하지 않아야 한다는 원칙이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
가독성(Readable),,"( )은 UI 시나리오 문서의 작성 요건 중 문서를 쉽게 읽을 수 있어야 하고(문서 템플릿과 타이포그래피), 표준화된 템플릿을 작성하여 적용해야 한다는 원칙이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
수정 용이성(Modifiable),,"( )은 UI 시나리오 문서의 작성 요건 중 쉽게 변경이 가능해야 하고, 수정 또는 개선 사항을 시나리오에 반영하는데 있어 쉽게 적용할 수 있어야 한다는 원칙이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 설계 도구,,"( )는 사용자와 시스템 사이에 의사소통할 수 있도록 일시적 또는 영구적인 접근을 목적으로 만들어진 물리적, 가상적 매개체인 UI의 설계를 지원하는 도구이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
물리 데이터 모델링,,( )은 논리모델을 적용하고자 하는 기술에 맞도록 상세화해 가는 과정이다.,기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
인덱스,,"검색 연산의 최적화를 위해 데이터베이스 내 열에 대한 정보를 구성한 데이터 구조이다.  
전체 데이터의 검색 없이 필요한 정보를 신속히 조회가 가능하게 하는 데이터 구조이다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
레인지 파티셔닝(범위 파티셔닝),,"연속적인 숫자나 날짜를 기준으로 하는 파티셔닝 기법이다.
손쉬운 관리 기법을 제공하여 관리 시간의 단축이 가능하다.",기출 예상 문제,물리 데이터 모델 설계,데이터 입출력 구현,,시작 전,,
화면 설계,,"UI 설계 도구 중 파워 목업(Power Mockup), 발사믹 목업(Balsamiq Mockups), 카카오 오븐(Oven)은 ( ) 도구이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
프로토타이핑,,"UI 설계 도구 중 UX핀(UXPin), 액슈어(AXURE), 네이버 프로토나우(ProtoNOW)는 ( ) 도구이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
UI 디자인,,"UI 설계 도구 중 스케치(Sketch), 어도비 익스피리언스 디자인 CC는 ( ) 도구이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
링크(Link),,"( )는 커뮤니케이션 다이어그램 구성요소 중 개체들 간의 관계를 표현하고 클래스가 아닌 실제 객체와의 관계를 직접적으로 보여주는 구성요소로 액터와 객체, 객체 간 실선으로 표현한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
조인 노드(Join node),,"( )는 Fork Node로 나눠진 흐름을 다시 하나로 합치는 노드로 굵은 가로선으로 표현하고 들어오는 액티비티 흐름은 여러 개이고, 나가는 액티비티 흐름은 한 개이다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
포함(include) 관계,,"( )는 유스케이스 다이어그램 관계 중 유스케이스를 수행할 떄 다른 유스케이스가 반드시 수행되는 관계로 여러 유스케이스에서 공통적으로 발견되는 기능을 표현하고, <<include>>로 표현한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
실체화 관계(Realization),,"( )는 추상 클래스나 인터페이스를 상속받아 자식클래스가 추상 메서드 구현할 때 사용하고, 사물이 할 수 있거나, 해야 하는 기능(행위, 인터페이스)으로 서로를 그룹화할 수 있는 관계를 표현한다. 사물에서 기능 쪽으로 속이 빈 점선 화살표를 연결하여 표현한다.",기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
행위적 다이어그램(동적 다이어그램),,( )의 유형에는 유스케이스 / 시퀀스 / 커뮤니케이션 / 상태 / 활동 / 타이밍 다이어그램이 있다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
구조적 다이어그램(정적 다이어그램),,( )의 유형에는 클래스 / 객체 / 컴포넌트 / 배치 / 복합체 구조 / 패키지 다이어그램이 있다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
인스턴스(Instance),,( )은 객체 지향 프로그래밍(OOP; Object Oriented Programming)에서 해당 클래스의 구조로 컴퓨터 저장 공간에서 할당된 실체이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
이해성,,( )는 사용성의 부특성 중 소프트웨어의 논리적인 개념과 적용 가능성(응용 가능성)을 분간하는 데 필요한 사용자의 노력 정도에 따른 소프트웨어 특성이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
학습성,,( )은 사용성의 부특성 중 소프트웨어 애플리케이션을 익히는 데 필요한 사용자의 노력 정도에 따른 특성이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
운용성,,( )은 사용성의 부특성 중 소프트웨어의 활용과 운용 통제에 필요한 사용자의 노력 정도에 따른 특성이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
적절성,,( )은 기능성(Functionality)의 부특성 중 소프트웨어 제품이 주어진 작업과 사용자의 목표에 필요 적절한 기능들을 제공해 줄 수 있는 소프트웨어의 능력이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
정밀성,,( )은 기능성(Functionality)의 부특성 중 소프트웨어 제품이 요구되는 정확도로 올바른 결과를 산출할 수 있는 능력이다.,기출 예상 문제,UI 설계 원칙,화면 설계,,시작 전,,
HDFS(Hadoop Distributed File System),,대용량 데이터의 집합을 처리하는 응용 프로그램에 적합하도록 설계된 하둡 분산 파일 시스템이다.,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
맵 리듀스(Map Reduce),,구글에서 대용량 데이터 처리를 분산 병렬 컴퓨팅에서 처리하기 위한 목적으로 제작하여 2004년에 발표한 소프트웨어 프레임워크이다.,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
시맨틱 웹(Semantic Web),,"온톨로지를 활용하여 서비스를 기술하고, 온톨로지의 의미적 상호 운용성을 이용해서 서비스 검색, 조합, 중재 기능을 자동화하는 웹이다.",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
온톨로지(Ontology),,"실세계에 존재하는 모든 개념들과 개념들의 속성, 그리고 개념들 간의 관계 정보를 컴퓨터가 이해할 수 있도록 서술해 놓은 지식베이스이다.",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
텍스트 마이닝(Text Mining),,"대량의 텍스트 데이터로부터 패턴 또는 관계를 추출하여 의미 있는 정보를 찾아내는 기법이다.
비정형, 반정형 데이터에 대하여 자연어, 문서 처리기술을 적용하여 의미 있는 정보를 추출한다.",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
웹 마이닝(Web Mining),,"웹으로부터 얻어지는 방대한 양의 정보로부터 유용한 정보를 찾아내기 위하여 분석하는 기법이다.
웹 자원으로부터 의미 있는 패턴, 프로 파일, 추세 등을 발견하기 위하여 데이터 마이닝 기술을 응용한 것이다.",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
데이터베이스,,다수의 인원. 시스템 도는 프로그램이 사용할 목적으로 통합하여 관리되는 데이터의 집합이다.,기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
계층형 데이터베이스 관리시스템(HDBMS),,"( )은 데이터를 상하 종속적인 관계로 관리하는 데이터베이스이다.
( )은 데이터에 대한 접근 속도가 빠르지만, 종속적인 구조로 인하여 변화하는 데이터 구조에 유연하게 대응이 어렵다.",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
키-값(Key-Value) DBMS,,"키 기반 Get / Put / Delete 제공, 메모리 기반에서 성능 우선 시스템 및 빅데이터 처리 가능 DBMS
Unique한 키에 하나의 값을 가지고 있는 형태
Redis, DynamoDB",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
문서 저장(Document Store) DBMS,,"값의 데이터 타입이 문서라는 타입을 사용하는 DBMS
문서 타입은 XML, JSON과 같이 구조화된 데이터 타입으로, 복잡한 계층 구조 표현 가능
MongoDB, Couchbase",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
그래프(Graph) DBMS,,"시맨틱 웹과 온톨로지 분야에서 활용되는 그래프로 데이터를 표현하는 DBMS
노드와 에지로 특징되는 요소 특화
노드 간 관계를 구조화하여 저장
Neo4j, AllegroGraph",기출 예상 문제,데이터베이스 기초 활용하기,데이터 입출력 구현,,시작 전,,
